Módulo de Análise: Origem de Dados da Coleta;;;;;;;;;
Data de solicitação 26/02/2020;;;;;;;;;
Período Solicitado de 01/01/2020 até 31/01/2020;;;;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Ativa G (kWh);Reativa C (kVArh);Reativa G (kVArh);Qualidade;Origem
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;1;85,777;0;49,272;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;2;89,459;0;49,048;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;3;83,334;0;49,567;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;4;85,293;0;46,787;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;5;83,638;0;49,62;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;6;89,802;0;48,17;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;7;98,954;0;51,338;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;8;131,672;0;60,316;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;9;136,675;0;70,063;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;10;141,449;0;68,111;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;11;137,943;0;67,242;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;12;147,911;0;75,038;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;13;145,735;0;76,984;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;14;142,069;0;68,52;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;15;150,53;0;75,67;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;16;148,154;0;76,747;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;17;140,694;0;71,252;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;18;142,989;0;69,293;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;19;145,535;0;75,002;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;20;137,912;0;69,782;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;21;140,242;0;70,713;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;22;135,947;0;68,635;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;23;109,577;0;62,952;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;24;100,797;0;60,944;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;1;93,37;0;58,733;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;2;94,756;0;52,416;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;3;94,049;0;59,067;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;4;89,331;0;50,908;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;5;90,826;0;56,496;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;6;92,929;0;53,116;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;7;100,029;0;56,105;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;8;133,13;0;62,614;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;9;142,146;0;74,987;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;10;140,352;0;69,784;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;11;141,92;0;67,808;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;12;153,513;0;81,148;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;13;153,1;0;82,4;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;14;157,803;0;80,431;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;15;163,483;0;88,227;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;16;164,734;0;89,454;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;17;149,871;0;76,448;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;18;151,718;0;77,069;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;19;151,758;0;80,116;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;20;138,741;0;68,536;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;21;137,599;0;70,503;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;22;137,944;0;70,444;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;23;104,979;0;58,237;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;24;101,751;0;62,157;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;1;94,506;0;57,421;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;2;96,409;0;54,516;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;3;93,62;0;56,68;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;4;91,276;0;54,011;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;5;87,83;0;51,352;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;6;94,794;0;55,944;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;7;97,8;0;53,616;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;8;134,508;0;65,259;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;9;135,701;0;66,611;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;10;144,096;0;74,886;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;11;150,206;0;70,429;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;12;152,255;0;76,896;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;13;140,976;0;70,273;0;Completo;COLETA DIÁRIA
