Tipo de Relatório: Medidas Consolidadas;;;;;;;;;;
Tipo de Agente: Conectante | Nome: BARBOSA 1;;;;;;;;;;
Periodo Solicitado de 01/12/2019 até 31/12/2019;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
SPASKCENTR101;06/12/2019;21;Liquida;0;88,592;0;42,192;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;22;Liquida;0;92,08;0;43,76;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;23;Liquida;0;81,36;0;36,608;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;24;Liquida;0;66,944;0;31,904;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;1;Liquida;0;64,992;0;30,08;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;2;Liquida;0;66,288;0,048;31,552;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;3;Liquida;0;60,608;0;28,928;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;4;Liquida;0;63,648;0;29,984;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;5;Liquida;0;56,56;0;26,56;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;6;Liquida;0;79,632;0;33,536;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;7;Liquida;0;88,096;0;41,104;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;8;Liquida;0;91,472;0;42,848;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;9;Liquida;0;92,864;0;44,432;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;10;Liquida;0;103,888;0;47,168;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;11;Liquida;0;96,8;0;44,288;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;12;Liquida;0;100,352;0;47,168;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;13;Liquida;0;101,344;0;47,728;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;14;Liquida;0;107,728;0;48,768;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;15;Liquida;0;101,696;0;48,272;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;16;Liquida;0;103,696;0;49,36;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;17;Liquida;0;94,544;0;46,72;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;18;Liquida;0;99,616;0;47,216;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;19;Liquida;0;99,536;0;47,312;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;20;Liquida;0;93,056;0;45,04;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;21;Liquida;0;88,416;0;42,16;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;22;Liquida;0;91,968;0;41,424;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;23;Liquida;0;77,584;0;34,224;0;Hora Completa Consistente;Consistido
SPASKCENTR101;07/12/2019;24;Liquida;0;61,712;0;30,208;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;1;Liquida;0;62,352;0;30,784;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;2;Liquida;0;59,184;0;28,96;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;3;Liquida;0;57,328;0;28,208;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;4;Liquida;0;57,84;0;28,592;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;5;Liquida;0;55,952;0;27,584;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;6;Liquida;0;71,552;0;30,912;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;7;Liquida;0;93,12;0;41,952;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;8;Liquida;0;89,68;0;43,392;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;9;Liquida;0;95,008;0;43,776;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;10;Liquida;0;92,656;0;42,912;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;11;Liquida;0;95,616;0;45,856;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;12;Liquida;0;94,416;0;45,056;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;13;Liquida;0;103,424;0;47,856;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;14;Liquida;0;99,104;0;43,824;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;15;Liquida;0;101,904;0;45,808;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;16;Liquida;0;98,784;0;44,128;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;17;Liquida;0;94,544;0;40,88;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;18;Liquida;0;89,872;0;42,176;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;19;Liquida;0;85,552;0;40,816;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;20;Liquida;0;81,552;0;36,816;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;21;Liquida;0;69,024;0;29,536;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;22;Liquida;0;78,016;0;33,184;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;23;Liquida;0;68,864;0;32,384;0;Hora Completa Consistente;Consistido
SPASKCENTR101;08/12/2019;24;Liquida;0;66,272;0;32;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;1;Liquida;0;62,064;0;29,952;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;2;Liquida;0;62,496;0;27,936;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;3;Liquida;0;60,624;0;27,664;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;4;Liquida;0;58,864;0;28,464;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;5;Liquida;0;69,728;0;30,16;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;6;Liquida;0;78,256;0;32,928;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;7;Liquida;0;93,424;0;40,864;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;8;Liquida;0;89,456;0;41,296;0;Hora Completa Consistente;Consistido
